epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,7352.13,0.37121,0.38076,0.98873,0.99645,1,0.995,0.97885,0.24291,0.14797,0.80295,0.0001387,0.0001387,0.0001387
89,7436.35,0.36743,0.37244,0.98571,0.99551,0.9999,0.995,0.97986,0.24304,0.14569,0.80223,0.0001288,0.0001288,0.0001288
90,7524.1,0.36996,0.37161,0.98583,0.99689,0.99963,0.995,0.98014,0.24019,0.14588,0.80019,0.0001189,0.0001189,0.0001189
91,7606.39,0.20821,0.14957,0.88448,0.99639,0.99907,0.995,0.97812,0.24056,0.14516,0.79771,0.000109,0.000109,0.000109
92,7685.08,0.20125,0.13979,0.87988,0.99641,0.99972,0.995,0.97904,0.23807,0.14904,0.79708,9.91e-05,9.91e-05,9.91e-05
93,7764.48,0.1989,0.13727,0.87688,0.99663,0.99876,0.995,0.98053,0.236,0.14192,0.79611,8.92e-05,8.92e-05,8.92e-05
94,7843.94,0.19739,0.13893,0.87917,0.99661,0.99846,0.995,0.98163,0.23782,0.14483,0.79807,7.93e-05,7.93e-05,7.93e-05
95,7923.21,0.19162,0.13355,0.87086,0.99644,0.99868,0.995,0.98337,0.23528,0.1395,0.79574,6.94e-05,6.94e-05,6.94e-05
96,8002.26,0.19082,0.13131,0.87086,0.99676,0.99869,0.995,0.98179,0.23231,0.1407,0.79292,5.95e-05,5.95e-05,5.95e-05
97,8081.22,0.1893,0.12951,0.86694,0.99725,0.99889,0.995,0.9816,0.23268,0.13782,0.79401,4.96e-05,4.96e-05,4.96e-05
98,8160.67,0.18598,0.12843,0.8705,0.99708,0.99857,0.995,0.98267,0.23247,0.13769,0.79339,3.97e-05,3.97e-05,3.97e-05
99,8239.63,0.18419,0.12524,0.86519,0.99699,0.99888,0.995,0.98223,0.23166,0.13527,0.79277,2.98e-05,2.98e-05,2.98e-05
100,8318.72,0.18101,0.1249,0.8637,0.99723,0.99878,0.995,0.98263,0.23072,0.1357,0.79152,1.99e-05,1.99e-05,1.99e-05
